"","time","variable","value"
"124",1993-06-01,"deficit",0.236630580237105
"125",1993-09-01,"deficit",0.108855544447339
"126",1993-12-01,"deficit",0.131290302365915
"127",1994-03-01,"deficit",0.0552226639504004
"128",1994-06-01,"deficit",0.124011693002168
"129",1994-09-01,"deficit",0.0520241614499849
"130",1994-12-01,"deficit",0.219700504477944
"131",1995-03-01,"deficit",0.180974318281296
"132",1995-06-01,"deficit",0.211447968627551
"133",1995-09-01,"deficit",0.267182418548037
"134",1995-12-01,"deficit",0.313292480899975
"135",1996-03-01,"deficit",0.149227097174073
"136",1996-06-01,"deficit",0.254955773739854
"137",1996-09-01,"deficit",0.200398583992448
"138",1996-12-01,"deficit",0.124675911356468
"139",1997-03-01,"deficit",0.0284887578907955
"140",1997-06-01,"deficit",0.33775280192166
"141",1997-09-01,"deficit",0.145527076218322
"142",1997-12-01,"deficit",0.0796556045233769
"143",1998-03-01,"deficit",-0.110281834357906
"144",1998-06-01,"deficit",-0.242428658773388
"145",1998-09-01,"deficit",-0.155626575582588
"146",1998-12-01,"deficit",-0.417567686509289
"147",1999-03-01,"deficit",-0.627066074391303
"148",1999-06-01,"deficit",-0.578767772688814
"149",1999-09-01,"deficit",-0.443055972196861
"150",1999-12-01,"deficit",-0.394591408316625
"151",2000-03-01,"deficit",-0.753702278119112
"152",2000-06-01,"deficit",-0.373825235665316
"153",2000-09-01,"deficit",-0.617314828682954
"154",2000-12-01,"deficit",-0.54132542799315
"155",2001-03-01,"deficit",-0.868585940418592
"156",2001-06-01,"deficit",-0.876046629959956
"157",2001-09-01,"deficit",-1.02513768900445
"158",2001-12-01,"deficit",-1.30615901211118
"159",2002-03-01,"deficit",-1.17652829121464
"160",2002-06-01,"deficit",-1.13363134777259
"161",2002-09-01,"deficit",-1.09451766785647
"162",2002-12-01,"deficit",-1.46890025216881
"163",2003-03-01,"deficit",-1.3294348032673
"164",2003-06-01,"deficit",-1.30971973065084
"165",2003-09-01,"deficit",-1.18484445569205
"166",2003-12-01,"deficit",-1.17822804987661
"167",2004-03-01,"deficit",-1.19887505896921
"168",2004-06-01,"deficit",-1.18755323560143
"169",2004-09-01,"deficit",-1.23014558750726
"170",2004-12-01,"deficit",-1.2568240365203
"171",2005-03-01,"deficit",-1.01701978067231
"172",2005-06-01,"deficit",-0.97213182954341
"173",2005-09-01,"deficit",-0.816156481788441
"174",2005-12-01,"deficit",-0.780208525867658
"175",2006-03-01,"deficit",-0.734244110127347
"176",2006-06-01,"deficit",-0.5501142469033
"177",2006-09-01,"deficit",-0.473030506566035
"178",2006-12-01,"deficit",-0.465260453867398
"179",2007-03-01,"deficit",-0.420947945750267
"180",2007-06-01,"deficit",-0.176342307132373
"181",2007-09-01,"deficit",0.0668668381791215
"182",2007-12-01,"deficit",0.109246889889334
"183",2008-03-01,"deficit",-0.155576002043562
"184",2008-06-01,"deficit",-0.180544650458354
"185",2008-09-01,"deficit",0.0835062369725242
"186",2008-12-01,"deficit",-0.235979190545271
"187",2009-03-01,"deficit",0.0380193215158304
"188",2009-06-01,"deficit",0.566723762956915
"189",2009-09-01,"deficit",0.97694725585967
"190",2009-12-01,"deficit",1.05637509660996
"191",2010-03-01,"deficit",1.01927442113757
